ISIN	Fullname	Index	TER	PEA?	AUM	Replication	Div. freq.	Last div	Quote	Ticker
LU0274221281	db x-trackers Swiss Large Cap UCITS ETF (DR) 1D 	UNKNOWN	0.30%	?	EUR732m	Physical	Distributing	UNKNOWN	UNKNOWN	DBX1SM
DE000ETFL342	Deka MSCI Emerging Markets UCITS ETF 	UNKNOWN	0.65%	?	EUR16m	Synthetic	Accumulating	UNKNOWN	UNKNOWN	ETFL34
DE000ETFL060	Deka DAX (ausschüttend) UCITS ETF 	UNKNOWN	0.15%	?	EUR784m	Physical	Distributing	UNKNOWN	UNKNOWN	ETFL06
DE000ETFL201	Deka Deutsche Boerse EUROGOV Germany 5-10 UCITS ETF 	UNKNOWN	0.15%	?	EUR313m	Physical	Distributing	UNKNOWN	UNKNOWN	ETFL20
DE000ETFL029	Deka EURO STOXX 50 UCITS ETF 	UNKNOWN	0.15%	?	EUR1,022m	Physical	Distributing	UNKNOWN	UNKNOWN	ETFL02
DE000ETFL383	Deka iBoxx EUR Liquid Non-Financials Diversified UCITS ETF 	UNKNOWN	0.20%	?	EUR422m	Physical	Distributing	UNKNOWN	UNKNOWN	ETFL38
DE000ETFL441	Deka MDAX UCITS ETF 	UNKNOWN	0.30%	?	EUR231m	Physical	Accumulating	UNKNOWN	UNKNOWN	ETFL44
DE000A0N62H8	ETFS Physical PM Basket 	UNKNOWN	0.44%	?	EUR112m	Physical	Accumulating	UNKNOWN	UNKNOWN	A0N62H
DE000A0N62F2	ETFS Physical Silver 	UNKNOWN	0.49%	?	EUR821m	Physical	Accumulating	UNKNOWN	UNKNOWN	A0N62F
DE000A0N62G0	ETFS Physical Gold 	UNKNOWN	0.39%	?	EUR5,267m	Physical	Accumulating	UNKNOWN	UNKNOWN	A0N62G
DE000A0N62E5	ETFS Physical Palladium 	UNKNOWN	0.49%	?	EUR167m	Physical	Accumulating	UNKNOWN	UNKNOWN	A0N62E
DE000A0N62D7	ETFS Physical Platinum 	UNKNOWN	0.49%	?	EUR348m	Physical	Accumulating	UNKNOWN	UNKNOWN	A0N62D
DE000A1DCTL3	ETFS Physical Swiss Gold 	UNKNOWN	0.39%	?	EUR414m	Physical	Accumulating	UNKNOWN	UNKNOWN	A1DCTL
DE000A0LP781	Gold Bullion Securities 	UNKNOWN	0.40%	?	EUR3,472m	Physical	Accumulating	UNKNOWN	UNKNOWN	A0LP78
DE0005933931	iShares Core DAX UCITS ETF (DE) 	UNKNOWN	0.16%	?	EUR8,121m	Physical	Accumulating	UNKNOWN	UNKNOWN	593393
DE000A0H0728	iShares Diversified Commodity Swap UCITS ETF (DE) 	UNKNOWN	0.46%	?	EUR772m	Synthetic	Accumulating	UNKNOWN	UNKNOWN	A0H072
IE00B66F4759	iShares Euro High Yield Corporate Bond UCITS ETF 	UNKNOWN	0.50%	?	EUR5,813m	Physical	Distributing	UNKNOWN	UNKNOWN	A1C3NE
DE0005933964	iShares SLI UCITS ETF (DE) 	UNKNOWN	0.51%	?	EUR238m	Physical	Distributing	UNKNOWN	UNKNOWN	593396
DE0002635299	iShares STOXX Europe Select Dividend 30 UCITS ETF (DE) 	UNKNOWN	0.31%	?	EUR491m	Physical	Distributing	UNKNOWN	UNKNOWN	263529
DE000A0F5UH1	iShares STOXX Global Select Dividend 100 UCITS ETF (DE) 	UNKNOWN	0.46%	?	EUR1,140m	Physical	Distributing	UNKNOWN	UNKNOWN	A0F5UH
DE0005933972	iShares TecDAX UCITS ETF (DE) 	UNKNOWN	0.51%	?	EUR350m	Physical	Accumulating	UNKNOWN	UNKNOWN	593397
FR0010411413	Lyxor UCITS ETF EuroMTS 5-7Y Investment Grade (DR) EUR 	UNKNOWN	0.16%	?	EUR604m	Physical	Accumulating	UNKNOWN	UNKNOWN	LYX0BJ
FR0010411439	Lyxor UCITS ETF EuroMTS 7-10Y Investment Grade (DR) EUR 	UNKNOWN	0.16%	?	EUR325m	Physical	Accumulating	UNKNOWN	UNKNOWN	LYX0BK
US78467X1090	SPDR Dow Jones Industrial Average ETF Trust 	Dow Jones Industrial Average	0.180%	No	+500 M€	Physical	Monthly	0.42€ the 16/12/2016	187.18 €	DIA
US18383Q7390	Guggenheim Solar ETF (USD)	MAC Global Solar Energy TR USD	0.50%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 17.80	TAN
US2330512003	Deutsche X-trackers MSCI EAFE Hedged Equity ETF (USD)	MSCI EAFE 100% Hedged NR USD	0.35%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 28.31	DBEF
US2330515071	Deutsche X-trackers MSCI Japan Hedged Equity ETF (USD)	MSCI Japan 100% hedged to USD NR USD	0.45%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 37.02	DBJP
US25459Y6941	Direxion Daily Financial Bull 3X Shares (USD)	Russell 1000 Financial Services TR USD	0.75%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 40.65	FAS
GB00B15KY989	ETFS All Commodities ETC (EUR)	Bloomberg Commodity TR USD	0.49%	?	USD 396.93	UNKNOWN	UNKNOWN	UNKNOWN	EUR 8.40	OD7V
GB00B15KY104	ETFS Natural Gas ETC (EUR)	Bloomberg Sub Natural Gas TR USD	0.49%	?	USD 59.34	UNKNOWN	UNKNOWN	UNKNOWN	EUR 0.05	OD7L
GB00B0CTWC01	ETFS Brent Oil 1 month ETC (EUR)	ICE 1 M Brent oil futures TR USD	0.49%	?	USD 370.52	UNKNOWN	UNKNOWN	UNKNOWN	EUR 22.65	OESA
US26923A1060	ETFS Physical Palladium Shares (USD)	LBMA Palladium PM PR USD	0.60%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 71.84	PALL
US26922V1017	ETFS Physical Platinum Shares (USD)	LBMA Platinum PM PR USD	0.60%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 93.31	PPLT
US26922W1099	ETFS Physical Precious Metals Basket Shares (USD)	Bullion ETPs PR USD	0.60%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 61.48	GLTR
US26922X1072	ETFS Physical Silver Shares (USD)	LBMA Silver Price USD	0.30%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 16.79	SIVR
US26922Y1055	ETFS Physical Swiss Gold Shares (USD)	LBMA Gold Price PM USD	0.39%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 118.11	SGOL
US3373441050	First Trust NASDAQ-100 Equal Weighted Index Fund (USD)	NASDAQ 100 Equal Weighted TR USD	0.40%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 48.01	QQEW
US3373451026	First Trust NASDAQ-100-Technology Sector Index Fund (USD)	NASDAQ 100 Technology TR USD	0.40%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 54.30	QTEC
US33733E2037	First Trust NYSE Arca Biotechnology Index Fund (USD)	NYSE Arca Biotechnology TR USD	0.40%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 93.88	FBT
US33734X1019	First Trust Consumer Discretionary AlphaDEX® Fund (USD)	StrataQuant Consumer Disc TR USD	0.50%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 35.57	FXD
